max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-24,-1460,781,24,-848.15,116.72857142857143,-33926,8171,5.3884499073028564,110
-24,-1460,781,24,-696.2083333333334,129.125,-33418,8264,4.019909143447876,112
-31,-1460,781,24,-802.3235294117648,96.95384615384616,-27279,6302,4.7468109130859375,99
-31,-1460,621,24,-651.6296296296297,72.46551724137932,-17594,4203,5.2268970012664795,85
-24,-1460,617,24,-740.6521739130435,71.22413793103448,-17035,4131,4.506789922714233,81
-24,-1460,617,24,-1379.8755760368663,161.672131147541,-898299,9862,5.725496053695679,712
-24,-1460,781,24,-807.0434782608696,122.94117647058823,-37124,8360,5.15587306022644,114
-24,-1460,781,24,-567.3181818181819,102.9375,-24962,8235,5.160348176956177,124
-17,-1460,1440,24,-1304.8541666666667,245.57926829268294,-2066889,40275,4.944164037704468,1748
-12,-1460,1440,24,-1357.5703204047218,260.30046948356807,-4025196,55444,10.938557147979736,3178
-24,-1460,617,24,-699.0,71.81818181818181,-14679,4740,5.120315074920654,87
-24,-1460,781,24,-805.1086956521739,109.35443037974683,-37035,8639,3.6927990913391113,125
-23,-1460,781,24,-1155.6666666666667,127.04411764705883,-117878,8639,5.036955118179321,170
-24,-1460,781,24,-1201.1046511627908,156.5,-103295,10329,5.033467054367065,152
-24,-1460,781,24,-767.9722222222222,104.78787878787878,-27647,6916,3.929979085922241,102
-17,-1460,1440,24,-1336.3929166666667,239.63333333333333,-3207343,50323,5.627460956573486,2610
-24,-1460,781,24,-920.5384615384615,99.64179104477611,-23934,6676,5.187157869338989,93
-24,-1460,781,24,-917.2388059701492,134.72527472527472,-61455,12260,3.9928719997406006,158
-24,-1460,781,24,-1138.6754385964912,137.51807228915663,-129809,11414,5.026355028152466,197
-24,-1460,617,24,-1385.0504587155963,165.7810218978102,-2113587,22712,5.274815797805786,1663
-24,-1460,781,24,-987.1875,102.85057471264368,-63180,8948,5.491091012954712,151
-24,-1460,781,24,-1394.5225531914894,180.55102040816325,-1638564,17694,5.985152959823608,1273
-24,-1460,943,24,-1219.8403041825095,206.16153846153847,-641636,26801,11.637696027755737,656
